ENGLISH_NA,COMMUNITY,ADDRESS_LI,POSTAL_COD,Facility_Name,"Population, 2021",Facilities_Per_Capita
Hospital Gate X-Ray & Ultrasound,Oakville,3075 Hospital Gate,L6M1M1,Hospital Gate X,213759.0,0.0005520235405292877
Trafalgar Cardiology,Oakville,1235 Trafalgar Road,L6H3P1,Trafalgar Cardiology,213759.0,0.0005520235405292877
Town of Oakville - Iroquois Ridge Older Adult Centre,Oakville,1051 Glenashton Drive,L6H6Z4,Town of Oakville,213759.0,0.0005520235405292877
Trafalgar Park Older Adults Centre,Oakville,133 Rebecca Street,L6K1J5,Trafalgar Park Older Adults Centre,213759.0,0.0005520235405292877
Pharma Sense,Oakville,2983 Westoak Trails Boulevard,L6M5E4,Pharma Sense,213759.0,0.0005520235405292877
River Oaks Medical Pharmacy,Oakville,2163 Sixth Line,L6H3N7,River Oaks Medical Pharmacy,213759.0,0.0005520235405292877
Bronte Centre Pharmacy,Oakville,78 Jones Street,L6L6C5,Bronte Centre Pharmacy,213759.0,0.0005520235405292877
White Oaks Pharmacy,Oakville,360 Dundas Street,L6H6Z9,White Oaks Pharmacy,213759.0,0.0005520235405292877
The Drug Store Pharmacy #1190,Oakville,173 Lakeshore Road West,L6K1E7,The Drug Store Pharmacy #1190,213759.0,0.0005520235405292877
Loblaw Pharmacy #1024,Oakville,201 Oak Park Boulevard,L6H7T4,Loblaw Pharmacy #1024,213759.0,0.0005520235405292877
Metro Pharmacy #516,Oakville,280 North Service Road,L6M2S2,Metro Pharmacy #516,213759.0,0.0005520235405292877
Osr Pharmacy,Oakville,2220 Lakeshore Road West,L6L5G5,Osr Pharmacy,213759.0,0.0005520235405292877
Oakville Town Centre Pharmacy,Oakville,300 North Service Road West,L6M2S2,Oakville Town Centre Pharmacy,213759.0,0.0005520235405292877
Leon Pharmacy,Oakville,340 Kerr Street,L6K3B8,Leon Pharmacy,213759.0,0.0005520235405292877
Bristol Medical Pharmacy,Oakville,2315 Bristol Circle,L6H6P8,Bristol Medical Pharmacy,213759.0,0.0005520235405292877
Shoppers Drug Mart #878,Oakville,478 Dundas Street West,L6H6Y3,Shoppers Drug Mart #878,213759.0,0.0005520235405292877
Shoppers Drug Mart #1203,Oakville,2525 Prince Michael Drive,L6H0E9,Shoppers Drug Mart #1203,213759.0,0.0005520235405292877
Royal Oak Pharmacy,Oakville,2524 Third Line,L6M0G8,Royal Oak Pharmacy,213759.0,0.0005520235405292877
Lakeshore Woods Pharmacy,Oakville,3420 Rebecca Street,L6L6W2,Lakeshore Woods Pharmacy,213759.0,0.0005520235405292877
Total Health Pharmacy #137,Oakville,231 Oak Park Boulevard,L6H7S8,Total Health Pharmacy #137,213759.0,0.0005520235405292877
Shoppers Drug Mart #923,Oakville,1515 Rebeca Street,L6L5H8,Shoppers Drug Mart #923,213759.0,0.0005520235405292877
Bronte Creek Pharmacy,Oakville,2290 Lakeshore Road West,L6L1H3,Bronte Creek Pharmacy,213759.0,0.0005520235405292877
Edward's Pharmacy,Oakville,170 Rebecca Street,L6K1J6,Edward's Pharmacy,213759.0,0.0005520235405292877
Metro Pharmacy #590,Oakville,1011 Upper Middle Road East,L6H4L2,Metro Pharmacy #590,213759.0,0.0005520235405292877
Lakeshore Drug Mart,Oakville,347 Lakeshore Road East,L6J1J5,Lakeshore Drug Mart,213759.0,0.0005520235405292877
"Peak Sleep, Oakville",Oakville,420 North Service Road East,L6H5R2,"Peak Sleep, Oakville",213759.0,0.0005520235405292877
Trafalgar X-Ray and Ultrasound,Oakville,1235 Trafalgar Road,L6H3P1,Trafalgar X,213759.0,0.0005520235405292877
Prism Eye Institute - Mississauga,Oakville,2201 Bristol Circle,L6H0J8,Prism Eye Institute,213759.0,0.0005520235405292877
West Oak Village Ltc Centre,Oakville,2370 Third Line,L6M4E2,West Oak Village Ltc Centre,213759.0,0.0005520235405292877
Oakvillage Pharmacy Inc.,Oakville,261 Oak Walk Drive,L6H6M3,Oakvillage Pharmacy Inc.,213759.0,0.0005520235405292877
Dundas Neyagawa Pharmacy,Oakville,479 Dundas Street West,L6M1L9,Dundas Neyagawa Pharmacy,213759.0,0.0005520235405292877
River Glen Pharmacy,Oakville,575 River Glen Boulevard,L6H6X6,River Glen Pharmacy,213759.0,0.0005520235405292877
Bioscript Pharmacy Oakville,Oakville,1393 North Service Road East,L6H1A7,Bioscript Pharmacy Oakville,213759.0,0.0005520235405292877
Shepherd Pharmacy,Oakville,579 Kerr Street,L6K3E1,Shepherd Pharmacy,213759.0,0.0005520235405292877
Oak City Pharmacy,Oakville,180 Oak Park Boulevard,L6H0A6,Oak City Pharmacy,213759.0,0.0005520235405292877
Rexall #2444,Oakville,2441 Lakesshore Road West,L6L1H6,Rexall #2444,213759.0,0.0005520235405292877
Cims Pharmacy,Oakville,1235 Trafalgar Road,L6H3P1,Cims Pharmacy,213759.0,0.0005520235405292877
St. Mark's Pharmacy,Oakville,586 Argus Road,L6J3J3,St. Mark's Pharmacy,213759.0,0.0005520235405292877
Kingsridge Pharmacy,Oakville,2015 Kingsridge Drive,L6M4Y7,Kingsridge Pharmacy,213759.0,0.0005520235405292877
Phoenix Pharmacy Oakville,Oakville,1108 Speers Road,L6L2X4,Phoenix Pharmacy Oakville,213759.0,0.0005520235405292877
Shoppers Drug Mart #745,Oakville,240 Leighland Avenue,L6H3H6,Shoppers Drug Mart #745,213759.0,0.0005520235405292877
Food Basics Pharmacy #566,Oakville,478 Dundas Street West,L6H6Y3,Food Basics Pharmacy #566,213759.0,0.0005520235405292877
Abbeywood Pharmacy,Oakville,1395 Abbeywood Drive,L6M3B2,Abbeywood Pharmacy,213759.0,0.0005520235405292877
Ray Pharmacy,Oakville,635 Fourth Line,L6L5W4,Ray Pharmacy,213759.0,0.0005520235405292877
Halton Pharmacy,Oakville,1060 Speers Road,L6L2X4,Halton Pharmacy,213759.0,0.0005520235405292877
Origins Phcy & Compounding Lab,Oakville,3075 Hospital Gate,L6M1M1,Origins Phcy & Compounding Lab,213759.0,0.0005520235405292877
Loblaw Pharmacy #4925,Oakville,493 Dundas Street West,L6M4M2,Loblaw Pharmacy #4925,213759.0,0.0005520235405292877
Origins Phmcy & Home Health Care,Oakville,3001 Hospital Gate,L6M0L8,Origins Phmcy & Home Health Care,213759.0,0.0005520235405292877
Northridge Long Term Care Cent,Oakville,496 Postidge Drive,L6H7A2,Northridge Long Term Care Cent,213759.0,0.0005520235405292877
Palero Pharmacy,Oakville,2525 Old Bronte Road,L6M4J2,Palero Pharmacy,213759.0,0.0005520235405292877
Glenashton Pharmacy,Oakville,333 Glenashton Drive,L6H7P6,Glenashton Pharmacy,213759.0,0.0005520235405292877
Chartwell Waterford Ltc Reside,Oakville,2240 Baronwood Drive,L6M4V6,Chartwell Waterford Ltc Reside,213759.0,0.0005520235405292877
Wyndham Manor Ltc Centre,Oakville,291 Reynalds Street,L6J3L5,Wyndham Manor Ltc Centre,213759.0,0.0005520235405292877
Shoppers Drug Mart #996,Oakville,2297 Lakeshore Road West,L6L1H2,Shoppers Drug Mart #996,213759.0,0.0005520235405292877
Shoppers Drug Mart #706,Oakville,351 Cornwall Road,L6J7Z5,Shoppers Drug Mart #706,213759.0,0.0005520235405292877
Oak Lake Pharmacy,Oakville,146 Lake Shore Road West,L6K1E4,Oak Lake Pharmacy,213759.0,0.0005520235405292877
Upper Middle Pharmacy,Oakville,1534 Queensbury Crescent,L6H4G5,Upper Middle Pharmacy,213759.0,0.0005520235405292877
Wyecroft Pharmacy,Oakville,245 Wyecroft Road,L6K3Y6,Wyecroft Pharmacy,213759.0,0.0005520235405292877
Central Park Pharmacy,Oakville,216 Oak Park Boulevard,L6H0K3,Central Park Pharmacy,213759.0,0.0005520235405292877
Uptown Medical Pharmacy,Oakville,2423 Trafalgar Road,L6H6K7,Uptown Medical Pharmacy,213759.0,0.0005520235405292877
Pharmex Direct Inc.,Oakville,2333 Wyecroft Road,L6L6L4,Pharmex Direct Inc.,213759.0,0.0005520235405292877
Shoppers Drug Mart #1271,Oakville,2501 Third Line,L6M5A9,Shoppers Drug Mart #1271,213759.0,0.0005520235405292877
Kerr Speers Pharaacy,Oakville,496 Kerr Street,L6K3C5,Kerr Speers Pharaacy,213759.0,0.0005520235405292877
Mint Care Pharmacy,Oakville,2486 Old Bronte Road,L6M0Y4,Mint Care Pharmacy,213759.0,0.0005520235405292877
Shoppers Drug Mart #748,Oakville,1011 Upper Middle Road,L6H4L3,Shoppers Drug Mart #748,213759.0,0.0005520235405292877
Shoppers Drug Mart #744,Oakville,550 Kerr Street,L6K3C7,Shoppers Drug Mart #744,213759.0,0.0005520235405292877
Clear View Pharmacy,Oakville,1140 Winston Churchill Boulevard,L6J0A3,Clear View Pharmacy,213759.0,0.0005520235405292877
Palms Pharmacy,Oakville,71 Speers Road,L6K0J2,Palms Pharmacy,213759.0,0.0005520235405292877
Lifecare Rx Pharmacy,Oakville,201 River Oaks Boulevard West,L6H3S7,Lifecare Rx Pharmacy,213759.0,0.0005520235405292877
Voak Pharmasave,Oakville,438 Iroquois Shore Road,L6H0X7,Voak Pharmasave,213759.0,0.0005520235405292877
Oak Park Community Pharmacy,Oakville,2530 Sixth Line,L6H6W5,Oak Park Community Pharmacy,213759.0,0.0005520235405292877
The Compounding Centre,Oakville,2540 Postmaster Drive,L6M0N2,The Compounding Centre,213759.0,0.0005520235405292877
Innomar Pharmacy,Oakville,3430 Superior Court,L6L0C4,Innomar Pharmacy,213759.0,0.0005520235405292877
Community Midwives of Halton,Oakville,3075 Hospital Gate,L6M1M1,Community Midwives of Halton,213759.0,0.0005520235405292877
Halton Healthcare Services Corp,Oakville,327 Reynolds Street,L6J3L7,Halton Healthcare Services Corp,213759.0,0.0005520235405292877
Acclaim Health and Community Care Services,Oakville,2370 Speers Road,L6L5M2,Acclaim Health and Community Care Services,213759.0,0.0005520235405292877
S.E.N.A.C.A. Seniors Day Program - Halton Incorporated,Oakville,53 Bond Street,L6K1L8,S.E.N.A.C.A. Seniors Day Program,213759.0,0.0005520235405292877
Regional Municipality of Halton - Supportive Housing,Oakville,1151 Bronte Road,L6M3L1,Regional Municipality of Halton,213759.0,0.0005520235405292877
Ukrainian Home for the Aged Op as Ivan Franko Home,Oakville,3058 Winston Churchill Boulevard,L5L3J1,Ukrainian Home for the Aged Op as Ivan Franko Home,213759.0,0.0005520235405292877
Oakville Senior Citizens Residence,Oakville,2222 Lakeshore Road,L6L5G5,Oakville Senior Citizens Residence,213759.0,0.0005520235405292877
Madill Health-Aid Pharmacy,Oakville,290 Lakeshore Road East,L6J1J2,Madill Health,213759.0,0.0005520235405292877
Ford Drive Pharmacy,Oakville,609 Ford Drive,L6J7Z6,Ford Drive Pharmacy,213759.0,0.0005520235405292877
Post Inn Village,Oakville,203 Georgian Drive,L6H7H9,Post Inn Village,213759.0,0.0005520235405292877
Sobeys Pharmacy #7225,Oakville,511 Maple Grove Drive,L6J4W3,Sobeys Pharmacy #7225,213759.0,0.0005520235405292877
Oakville Allergy Centre Inc,Oakville,177 Claxton Drive,L6J4N8,Oakville Allergy Centre Inc,213759.0,0.0005520235405292877
Fairways Drug Store,Oakville,1500 Upper Middle Road West,L6M3G3,Fairways Drug Store,213759.0,0.0005520235405292877
Queen's Drug Mart,Oakville,1289 Marlborough Court,L6H2R9,Queen's Drug Mart,213759.0,0.0005520235405292877
Joshua Creek Pharmacy,Oakville,1915 Ironoak Way,L6H0N1,Joshua Creek Pharmacy,213759.0,0.0005520235405292877
Trafalgar Pharmacy,Oakville,2200 Trafalgar Road,L6H7H2,Trafalgar Pharmacy,213759.0,0.0005520235405292877
Medcare Pharmacy,Oakville,581 Argus Road,L6J3J4,Medcare Pharmacy,213759.0,0.0005520235405292877
Carerx Oakville,Oakville,3430 Superior Court,L6L0C4,Carerx Oakville,213759.0,0.0005520235405292877
Morelli's Guardian Pharmacy,Oakville,469 Cornwall Road,L6J7S8,Morelli's Guardian Pharmacy,213759.0,0.0005520235405292877
Cornwall Pharmacy,Oakville,1525 Cornwall Road,L6J0B2,Cornwall Pharmacy,213759.0,0.0005520235405292877
Speers Pharmacy,Oakville,225 Speers Road,L6K0J4,Speers Pharmacy,213759.0,0.0005520235405292877
Chartwell Waterford Long Term Care Residence,Oakville,2140 Baronwood Drive,L6M4V6,Chartwell Waterford Long Term Care Residence,213759.0,0.0005520235405292877
Northridge,Oakville,496 Postridge Drive,L6H7A2,Northridge,213759.0,0.0005520235405292877
Churchill Place,Oakville,345 Church Street,L6J7G4,Churchill Place,213759.0,0.0005520235405292877
Memory & Company Oakville Club,Oakville,407 Iroquois Shore Road,L6H1M3,Memory & Company Oakville Club,213759.0,0.0005520235405292877
The Kensington,Oakville,25 Lakeshore Road West,L6K1C6,The Kensington,213759.0,0.0005520235405292877
Queens Avenue Retirement Residence,Oakville,1056 Queens Avenue,L6H6R3,Queens Avenue Retirement Residence,213759.0,0.0005520235405292877
Chartwell Waterford Retirement Residence,Oakville,2160 Baronwood Drive,L6M0Y1,Chartwell Waterford Retirement Residence,213759.0,0.0005520235405292877
Amica Bronte Harbour,Oakville,160 Bronte Road,L6L3C1,Amica Bronte Harbour,213759.0,0.0005520235405292877
Sunrise Senior Living of Oakville,Oakville,456 Trafalgar Road,L6J7X1,Sunrise Senior Living of Oakville,213759.0,0.0005520235405292877
V!VA Oakville Retirement Community,Oakville,1 Sixteen Mile Drive,L6M1P3,V!VA Oakville Retirement Community,213759.0,0.0005520235405292877
Chartwell Oakville Retirement Residence,Oakville,180 Oak Park Boulevard,L6H0A6,Chartwell Oakville Retirement Residence,213759.0,0.0005520235405292877
Trafalgar Lodge,Oakville,299 Randall Street,L6J6B4,Trafalgar Lodge,213759.0,0.0005520235405292877
Palermo Village Retirement Residence,Oakville,3136 Dundas Street West,L6M4J3,Palermo Village Retirement Residence,213759.0,0.0005520235405292877
Delmanor Glen Abbey,Oakville,1459 Nottinghill Gate,L6M4W1,Delmanor Glen Abbey,213759.0,0.0005520235405292877
Vistamere Retirement Residence,Oakville,380 Sherin Drive,L6L4J3,Vistamere Retirement Residence,213759.0,0.0005520235405292877
Halton Healthcare Services - Oakville Trafalgar Memorial,Oakville,3001 Hospital Gate,L6M0L8,Halton Healthcare Services,213759.0,0.0005520235405292877
West Oak Village,Oakville,2370 Third Line,L6M4E2,West Oak Village,213759.0,0.0005520235405292877
Wyndham Manor Long Term Care Centre,Oakville,291 Reynolds Street,L6J3L5,Wyndham Manor Long Term Care Centre,213759.0,0.0005520235405292877
Regional Municipality of Niagara,Thorold,3550 Schmon Parkway,L2V4T7,Regional Municipality of Niagara,23816.0,0.0006298286865972456
Norgen Biotek Corp.,Thorold,3430 Schmon Parkway,L2V4Y6,Norgen Biotek Corp.,23816.0,0.0006298286865972456
Niagara Region Public Health Department,Thorold,1815 Sir Isaac Brock Way,L2V0A2,Niagara Region Public Health Department,23816.0,0.0006298286865972456
Thorold Senior Citizens Association,Thorold,3540 Schmon Parkway,L2V5C2,Thorold Senior Citizens Association,23816.0,0.0006298286865972456
Pharma Viva Pharmacy,Thorold,6 Clairmont Street,L2V1R1,Pharma Viva Pharmacy,23816.0,0.0006298286865972456
Niagara Eye Care Centre Inc.,Thorold,3460 Schmon Parkway,L2V4Y6,Niagara Eye Care Centre Inc.,23816.0,0.0006298286865972456
Rexall #2451,Thorold,9 Pine Street North,L2V3Z9,Rexall #2451,23816.0,0.0006298286865972456
Xpresspill,Thorold,3550 Schmon Parkway,L2V4Y6,Xpresspill,23816.0,0.0006298286865972456
Henderson's Pharmacy Inc,Thorold,15 Front Street South,L2V1W8,Henderson's Pharmacy Inc,23816.0,0.0006298286865972456
Community Support Services of the Niagara Region,Thorold, Merrittville Highway,L2V4Y6,Community Support Services of the Niagara Region,23816.0,0.0006298286865972456
Ontario Brain Injury Association,Thorold,3550 Schmon Parkway,L2V4Y6,Ontario Brain Injury Association,23816.0,0.0006298286865972456
Meals on Wheels Thorold - St. Catharines,Thorold,3250 Schmon Parkway,L2V4Y6,Meals on Wheels Thorold,23816.0,0.0006298286865972456
Thorold Medical Pharmacy,Thorold,60 Albert Street West,L2V2G7,Thorold Medical Pharmacy,23816.0,0.0006298286865972456
The Foundry Pharmacy,Thorold,3460 Schmon Parkway,L2V4Y6,The Foundry Pharmacy,23816.0,0.0006298286865972456
Cobblestone Gardens Retirement Residence,Thorold,10 Ormond Street North,L2V1Y7,Cobblestone Gardens Retirement Residence,23816.0,0.0006298286865972456
Krasman Centre,Richmond Hill,10121 Yonge Street,L4C1T7,Krasman Centre,202022.0,0.00048014572670303235
Chalmers Gate X-Ray & Ultrasound,Richmond Hill,328 Highway 7 East,L4B3P7,Chalmers Gate X,202022.0,0.00048014572670303235
Richmond Hill Diagnostic Centre,Richmond Hill,9651 Yonge Street,L4C1V7,Richmond Hill Diagnostic Centre,202022.0,0.00048014572670303235
Mackenzie Health,Richmond Hill,10 Trench Street,L4C4Z3,Mackenzie Health,202022.0,0.00048014572670303235
Chronic Kidney Disease Program (Richmond Hill),Richmond Hill,Yonge Street,L4E4L6,Chronic Kidney Disease Program (Richmond Hill),202022.0,0.00048014572670303235
Mackenzie Richmond Hill Hospital,Richmond Hill,10 Trench Street,L4C4Z3,Mackenzie Richmond Hill Hospital,202022.0,0.00048014572670303235
Bayview Diagnostic Centre,Richmond Hill,9160 Bayview Avenue,L4B0E6,Bayview Diagnostic Centre,202022.0,0.00048014572670303235
"Richmond Hill, Town of - McConaghy Centre",Richmond Hill,10100 Yonge Street,L4C1T8,"Richmond Hill, Town of",202022.0,0.00048014572670303235
Richpoint Pharmacy,Richmond Hill,10815 Yonge Street,L4C3E3,Richpoint Pharmacy,202022.0,0.00048014572670303235
Health Link Pharmacy,Richmond Hill,9555 Yonge Street,L4C9M5,Health Link Pharmacy,202022.0,0.00048014572670303235
Loblaw Pharmacy #1208,Richmond Hill,10909 Yonge Street,L4C3E3,Loblaw Pharmacy #1208,202022.0,0.00048014572670303235
Sobeys Pharmacy # 7244,Richmond Hill,11700 Yonge Street,L4E3N6,Sobeys Pharmacy # 7244,202022.0,0.00048014572670303235
Pharmasante'pharmacy,Richmond Hill,10815 Bathurst Street,L4C9Y2,Pharmasante'pharmacy,202022.0,0.00048014572670303235
Costco Pharmacy #592,Richmond Hill,35 John Birchall Road,L4S0B2,Costco Pharmacy #592,202022.0,0.00048014572670303235
Bayview Hill Pharmacy,Richmond Hill,420 Highway 7 East,L4B3K2,Bayview Hill Pharmacy,202022.0,0.00048014572670303235
Shoppers Drug Mart #1148,Richmond Hill,118 Tower Hill Road,L4E0K6,Shoppers Drug Mart #1148,202022.0,0.00048014572670303235
Richmond Hill Pharmacy,Richmond Hill,328 Highway 7 East,L4B3P7,Richmond Hill Pharmacy,202022.0,0.00048014572670303235
The Drugstore Pharmacy #4356,Richmond Hill,9325 Yonge Street,L4C1V4,The Drugstore Pharmacy #4356,202022.0,0.00048014572670303235
Don Head Pharmacy,Richmond Hill,205 Don Head Village Boulevard,L4C7R3,Don Head Pharmacy,202022.0,0.00048014572670303235
People's Choice Pharmacy,Richmond Hill,10610 Bayview Avenue,L4C3N8,People's Choice Pharmacy,202022.0,0.00048014572670303235
Richmond Hill Medical Pharmacy,Richmond Hill,10243 Yonge Street,L4C3B2,Richmond Hill Medical Pharmacy,202022.0,0.00048014572670303235
Austin Pharmacy Richmond Hill,Richmond Hill,350 Highway 7 East,L4B3N2,Austin Pharmacy Richmond Hill,202022.0,0.00048014572670303235
My Private Pharmacy Ltd,Richmond Hill,80 West Beaver Creek,L4B1H3,My Private Pharmacy Ltd,202022.0,0.00048014572670303235
Shoppers Drug Mart #928,Richmond Hill,13070 Yonge Street,L4E2T2,Shoppers Drug Mart #928,202022.0,0.00048014572670303235
360 Pharmacy,Richmond Hill,360 Highway 7 East,L4B3Y7,360 Pharmacy,202022.0,0.00048014572670303235
Neighbourhood Pharmacy,Richmond Hill,10323 Yonge Street,L4C3C1,Neighbourhood Pharmacy,202022.0,0.00048014572670303235
Uptown Apothecary,Richmond Hill,9325 Yonge Street,L4C0A8,Uptown Apothecary,202022.0,0.00048014572670303235
Richmond Hill Medical & Surgical Centre,Richmond Hill,9080 Yonge Street,L4C0Y7,Richmond Hill Medical & Surgical Centre,202022.0,0.00048014572670303235
Richmond Hill Diagnostic Center,Richmond Hill,10243 Yonge Street,L4C3B2,Richmond Hill Diagnostic Center,202022.0,0.00048014572670303235
York Region Sleep Disorders Centre,Richmond Hill,13291 Yonge Street,L4E4L6,York Region Sleep Disorders Centre,202022.0,0.00048014572670303235
Care Medical Imaging,Richmond Hill,9651 Yonge Street,L4C1V7,Care Medical Imaging,202022.0,0.00048014572670303235
Bayview Hill Diagnostic Imaging,Richmond Hill,1 Spadina Road,L4B3M2,Bayview Hill Diagnostic Imaging,202022.0,0.00048014572670303235
Richmond Hill Sleep and Lung Institute,Richmond Hill,330 Highway 7 East,L4B3P8,Richmond Hill Sleep and Lung Institute,202022.0,0.00048014572670303235
Oak Ridges Medical Diagnostic Imaging,Richmond Hill,13291 Yonge Street,L4E4L6,Oak Ridges Medical Diagnostic Imaging,202022.0,0.00048014572670303235
Elginwood Long Term Care Cent,Richmond Hill,182 Yorkland Street,L4S2M9,Elginwood Long Term Care Cent,202022.0,0.00048014572670303235
The Organic Compounding Pharma,Richmond Hill,13237 Yonge Street,L4E3L2,The Organic Compounding Pharma,202022.0,0.00048014572670303235
Allencourt Pharmacy,Richmond Hill,610 Major Mackenzie Drive East,L4C1J9,Allencourt Pharmacy,202022.0,0.00048014572670303235
Mackenzie Health Ltc Facility,Richmond Hill,10 Trench Street,L4C4Z3,Mackenzie Health Ltc Facility,202022.0,0.00048014572670303235
Life Compounding Pharmacy,Richmond Hill,9425 Leslie Street,L4B3N7,Life Compounding Pharmacy,202022.0,0.00048014572670303235
Pharmassist,Richmond Hill,55 West Beaver Creek Road,L4B1K5,Pharmassist,202022.0,0.00048014572670303235
Shoppers Drug Mart 964,Richmond Hill,1070 Major Mackenzie Drive East,L4S1P3,Shoppers Drug Mart 964,202022.0,0.00048014572670303235
Hana Pharmacy,Richmond Hill,9737 Yonge Street,L4C1V7,Hana Pharmacy,202022.0,0.00048014572670303235
Bayview Medical Pharmacy,Richmond Hill,9160 Bayview Avenue,L4B0E6,Bayview Medical Pharmacy,202022.0,0.00048014572670303235
Richmond Hill City Centre Phmc,Richmond Hill,129 Church Street South,L4C1W4,Richmond Hill City Centre Phmc,202022.0,0.00048014572670303235
Upper Yonge Pharmacy,Richmond Hill,10909 Yonge Street,L4C3E3,Upper Yonge Pharmacy,202022.0,0.00048014572670303235
Grand Genesis Phcy (Pharmasave,Richmond Hill,9080 Yonge Street,L4C6Z9,Grand Genesis Phcy (Pharmasave,202022.0,0.00048014572670303235
Times Pharmacy,Richmond Hill,550 Highway 7 East,L4B3Z4,Times Pharmacy,202022.0,0.00048014572670303235
Food Basics Pharmacy #526,Richmond Hill,1070 Major Mackenzie Drive East,L4S1P3,Food Basics Pharmacy #526,202022.0,0.00048014572670303235
Good Shepherd Pharmacy 1,Richmond Hill,132 King Road,L4E2T5,Good Shepherd Pharmacy 1,202022.0,0.00048014572670303235
Atlas Pharmacy,Richmond Hill,1383 16th Avenue,L4B0E2,Atlas Pharmacy,202022.0,0.00048014572670303235
York Care Pharmacy,Richmond Hill,10660 Yonge Street,L4C3C9,York Care Pharmacy,202022.0,0.00048014572670303235
Pharmasave Yorkdale Pharmacy,Richmond Hill,11685 Yonge Street,L4E0K7,Pharmasave Yorkdale Pharmacy,202022.0,0.00048014572670303235
Rexall #6998,Richmond Hill,13291 Yonge Street,L4E4L6,Rexall #6998,202022.0,0.00048014572670303235
Mon Sheong Richmond Hill Ltc,Richmond Hill,11199 Yonge Street,L4S1L2,Mon Sheong Richmond Hill Ltc,202022.0,0.00048014572670303235
Elgin Care Pharmacy,Richmond Hill,1650 Elgin Mills Road East,L4S0B2,Elgin Care Pharmacy,202022.0,0.00048014572670303235
Langstaff Square Care Comm,Richmond Hill,Centre-Richmond Hill,L4B4T8,Langstaff Square Care Comm,202022.0,0.00048014572670303235
Apadana Pharmacy,Richmond Hill,9631 Yonge Street,L4C0M5,Apadana Pharmacy,202022.0,0.00048014572670303235
Spadina Pharmacy,Richmond Hill,1 Spadina Road,L4B3M2,Spadina Pharmacy,202022.0,0.00048014572670303235
Elgin Mills Crossing Pharmacy,Richmond Hill,10 John Birchall Road,L4S0B2,Elgin Mills Crossing Pharmacy,202022.0,0.00048014572670303235
Richmond Hill Guardian Phar,Richmond Hill,1285 Eglin Mills Road East,L4S0B5,Richmond Hill Guardian Phar,202022.0,0.00048014572670303235
Shoppers Drug Mart #1268,Richmond Hill,9651 Yonge Street,L4C1V7,Shoppers Drug Mart #1268,202022.0,0.00048014572670303235
Mariann Home,Richmond Hill,9915 Yonge Street,L4C1V1,Mariann Home,202022.0,0.00048014572670303235
Tower Hill Pharmacy,Richmond Hill,380 Tower Hill Road,L4E0T8,Tower Hill Pharmacy,202022.0,0.00048014572670303235
Dara Pharmacy,Richmond Hill,10376 Yonge Street,L4C3B8,Dara Pharmacy,202022.0,0.00048014572670303235
Pharmacare Medical Group,Richmond Hill,13311 Youge Street,L4E3L6,Pharmacare Medical Group,202022.0,0.00048014572670303235
Shoppers Drug Mart #1179,Richmond Hill,8865 Yonge Street,L4C6Z1,Shoppers Drug Mart #1179,202022.0,0.00048014572670303235
Jubilee Pharmacy,Richmond Hill,280 West Beaver Creek Road,L4B1B4,Jubilee Pharmacy,202022.0,0.00048014572670303235
Richmond Care Pharmacy,Richmond Hill,22 Richmond Street,L4C3Y1,Richmond Care Pharmacy,202022.0,0.00048014572670303235
Beverly Med Pharmacy,Richmond Hill,9201 Yonge Street,L4C1H9,Beverly Med Pharmacy,202022.0,0.00048014572670303235
V.CARE Pharmacy,Richmond Hill,11005 Yonge Street,L4C0K7,V.CARE Pharmacy,202022.0,0.00048014572670303235
Freshco Pharmacy #7233,Richmond Hill,1430 Major Mackenzie Drive East,L4S0A1,Freshco Pharmacy #7233,202022.0,0.00048014572670303235
Shoppers Drug Mart #897,Richmond Hill,10620 Yonge Street,L4C3C8,Shoppers Drug Mart #897,202022.0,0.00048014572670303235
Richmond Heights Pharmacy,Richmond Hill,10520 Yonge Street,L4C3C7,Richmond Heights Pharmacy,202022.0,0.00048014572670303235
Doncrest Rx,Richmond Hill,312 Highway 7 East,L4B1A5,Doncrest Rx,202022.0,0.00048014572670303235
Weldrick Compounding Pharmacy,Richmond Hill,9665 Bayview Avenue,L4C9V4,Weldrick Compounding Pharmacy,202022.0,0.00048014572670303235
Trucare Pharmacy,Richmond Hill,13110 Yonge Street,L4E1A3,Trucare Pharmacy,202022.0,0.00048014572670303235
Viva Health Pharmacy,Richmond Hill,9580 Yonge Street,L4C1V6,Viva Health Pharmacy,202022.0,0.00048014572670303235
Pro Care Pharmacy,Richmond Hill,9019 Bayview Avenue,L4B3M6,Pro Care Pharmacy,202022.0,0.00048014572670303235
Shoppers Drug Mart #1338,Richmond Hill,10800 Bayview Avenue,L4S0A6,Shoppers Drug Mart #1338,202022.0,0.00048014572670303235
Carerx Richmond Hill,Richmond Hill,30 Fulton Way,L4B1E6,Carerx Richmond Hill,202022.0,0.00048014572670303235
Leslie&major Mac Ida Pharmacy,Richmond Hill,1390 Major Mackenzie Drive East,L4S0A1,Leslie&major Mac Ida Pharmacy,202022.0,0.00048014572670303235
Shoppers Drug Mart #966,Richmond Hill,9350 Yonge Street,L4C5G2,Shoppers Drug Mart #966,202022.0,0.00048014572670303235
Holy Trinity Pharmacy,Richmond Hill,141 King Road,L4E3L7,Holy Trinity Pharmacy,202022.0,0.00048014572670303235
